,gender,parental level of education,lunch,test preparation course,math score,reading score,writing score
434,male,3,standard,none,67,63,66
32,male,1,free/reduced,completed,40,41,39
390,female,2,standard,none,63,62,64
541,male,2,standard,completed,77,72,79
961,male,5,standard,none,87,86,84
784,female,3,standard,completed,70,78,87
959,male,5,standard,completed,91,84,83
93,male,4,standard,completed,94,87,93
223,female,5,standard,none,79,77,83
158,female,3,free/reduced,none,82,95,93
833,male,5,standard,none,85,83,78
449,female,2,standard,none,70,75,75
254,female,0,free/reduced,none,51,61,54
322,female,0,standard,none,40,58,54
142,female,4,standard,none,86,83,87
381,female,0,standard,completed,85,83,94
820,female,1,standard,none,76,82,74
524,male,2,free/reduced,none,49,47,48
9,male,2,free/reduced,none,47,42,45
801,female,1,standard,none,44,65,63
628,male,3,standard,none,85,77,76
913,female,2,standard,completed,59,68,67
45,male,4,standard,none,60,46,51
408,male,0,standard,none,52,49,43
758,male,0,free/reduced,completed,56,65,63
652,female,1,standard,completed,92,100,97
604,female,4,standard,completed,89,93,100
821,male,0,standard,none,65,63,64
494,male,0,free/reduced,none,65,63,60
787,female,2,standard,none,84,84,87
224,male,4,standard,none,99,94,97
979,female,4,free/reduced,completed,57,65,68
497,male,2,free/reduced,none,71,64,66
730,male,2,free/reduced,none,90,87,81
788,male,0,standard,none,61,62,60
977,female,1,free/reduced,completed,54,55,65
413,male,1,free/reduced,completed,55,61,61
401,male,3,standard,completed,61,71,67
77,female,0,free/reduced,none,72,91,81
236,female,4,standard,none,53,68,64
369,female,0,standard,none,70,75,74
682,male,1,standard,none,87,80,76
565,female,2,standard,none,77,77,83
475,male,2,standard,completed,83,75,71
890,male,0,free/reduced,none,51,57,50
349,female,1,standard,completed,72,88,92
769,female,2,standard,none,62,60,63
663,female,2,standard,completed,63,78,75
511,female,1,standard,none,90,88,86
139,female,1,free/reduced,none,60,72,64
657,female,3,free/reduced,completed,45,72,66
145,female,0,free/reduced,none,51,57,57
839,male,2,standard,completed,100,84,88
237,female,0,standard,none,82,95,96
852,male,1,standard,none,57,60,50
483,female,2,free/reduced,none,71,78,82
361,male,2,free/reduced,none,44,53,43
284,male,4,free/reduced,none,49,49,49
783,male,3,free/reduced,completed,63,60,63
939,male,4,free/reduced,none,62,61,57
750,male,2,standard,none,74,76,70
197,male,5,free/reduced,none,53,57,51
722,female,1,standard,completed,45,57,56
327,female,0,standard,none,63,69,60
811,male,5,free/reduced,none,56,65,56
281,male,3,standard,completed,100,100,100
452,female,1,standard,completed,76,85,88
937,female,0,standard,none,45,50,41
526,female,2,standard,none,79,76,71
48,female,0,standard,none,68,72,73
810,female,1,standard,none,49,51,41
205,male,1,standard,completed,77,74,75
455,male,1,standard,none,65,59,60
807,female,5,standard,none,61,72,64
172,female,2,free/reduced,completed,57,66,71
865,male,1,free/reduced,completed,75,74,71
232,male,2,free/reduced,none,35,44,33
794,male,4,standard,completed,90,88,84
993,female,3,standard,none,58,54,58
207,male,2,standard,none,85,78,81
450,female,0,standard,completed,55,62,64
842,male,2,standard,completed,91,97,95
556,male,4,free/reduced,none,35,43,35
338,female,3,standard,none,58,68,62
902,male,2,standard,completed,78,69,73
473,male,2,standard,none,52,48,43
656,female,1,standard,none,60,68,74
71,male,3,standard,none,57,52,47
743,female,0,free/reduced,completed,74,96,95
892,male,2,free/reduced,none,55,42,43
638,male,0,standard,none,100,82,80
374,female,4,standard,none,87,89,84
167,female,1,standard,completed,57,64,68
635,female,5,standard,none,77,84,92
309,male,4,standard,completed,79,80,75
318,female,1,free/reduced,none,64,86,89
492,female,1,standard,none,41,49,49
958,female,2,standard,none,43,59,59
300,male,2,free/reduced,none,43,28,24
869,male,0,standard,none,69,60,54
479,male,3,free/reduced,none,62,43,45
802,female,2,standard,completed,69,94,87
605,male,3,standard,none,44,34,36
746,female,0,free/reduced,none,41,43,40
240,female,2,standard,none,72,84,82
878,female,4,standard,none,51,64,63
688,female,2,free/reduced,completed,54,61,71
601,female,0,standard,none,69,71,76
467,female,4,standard,completed,47,67,63
647,male,2,standard,completed,63,70,71
615,female,0,standard,none,52,47,48
144,male,5,standard,completed,80,71,68
148,female,4,standard,completed,100,100,100
546,male,0,standard,completed,68,60,63
215,female,4,free/reduced,none,55,57,60
222,female,1,standard,none,43,48,44
868,male,5,free/reduced,none,60,62,58
62,male,1,standard,completed,69,67,62
789,male,1,free/reduced,none,62,59,62
608,male,4,standard,none,64,53,50
891,male,0,standard,completed,64,71,70
567,female,2,standard,completed,62,79,87
790,female,5,free/reduced,none,66,78,83
998,female,2,standard,none,73,74,82
723,male,0,free/reduced,none,66,64,62
984,female,0,standard,none,63,71,75
105,female,4,standard,none,70,78,82
580,male,5,free/reduced,completed,84,77,82
662,female,3,standard,none,92,95,95
643,female,0,standard,none,62,64,63
912,female,5,free/reduced,none,54,64,64
578,female,3,standard,none,68,71,71
292,male,2,free/reduced,completed,59,71,66
480,female,1,standard,none,76,88,84
488,male,4,standard,none,84,79,74
734,female,1,free/reduced,none,52,58,53
11,female,0,standard,completed,80,87,90
445,female,0,standard,none,62,71,66
525,female,5,free/reduced,none,50,64,66
261,female,0,standard,none,39,46,50
94,male,5,free/reduced,none,81,73,72
799,male,0,free/reduced,none,64,52,54
671,female,5,standard,none,75,84,86
748,male,4,standard,none,95,99,91
409,male,2,standard,none,73,75,71
204,female,3,free/reduced,none,66,83,82
388,male,3,free/reduced,completed,82,82,78
88,female,2,standard,none,56,52,61
962,male,1,standard,completed,46,46,44
806,female,3,free/reduced,none,57,71,71
291,female,0,free/reduced,completed,71,77,82
537,female,1,free/reduced,completed,60,72,76
202,male,2,standard,none,77,64,70
486,female,3,free/reduced,none,60,64,60
489,female,4,standard,none,66,71,75
669,male,1,standard,none,59,49,46
916,male,0,standard,none,83,72,68
696,female,1,standard,completed,52,64,63
760,female,0,free/reduced,none,61,69,66
248,male,3,standard,completed,56,54,52
692,female,0,standard,none,90,88,84
908,female,2,free/reduced,completed,26,44,46
829,female,0,free/reduced,none,33,32,35
600,female,2,free/reduced,none,40,63,56
792,female,2,standard,completed,68,75,73
359,male,1,free/reduced,completed,58,52,48
457,female,5,standard,none,71,82,82
780,female,4,standard,completed,91,100,100
239,male,4,standard,completed,83,75,75
137,female,3,standard,completed,48,66,68
630,female,3,free/reduced,none,63,78,73
476,female,1,free/reduced,none,80,85,78
871,male,2,standard,none,62,44,52
27,male,0,standard,none,71,68,60
171,female,2,standard,none,71,71,76
181,female,2,standard,none,48,52,49
529,female,4,standard,none,63,67,71
444,male,4,standard,completed,93,86,95
930,female,1,standard,completed,71,83,89
817,male,5,standard,none,77,76,73
199,male,0,standard,none,74,63,65
548,female,3,free/reduced,none,37,46,43
70,female,3,standard,completed,56,68,73
316,female,0,standard,completed,58,67,64
843,male,5,standard,completed,87,81,86
386,female,1,free/reduced,none,43,57,50
501,female,3,standard,none,87,87,92
73,female,1,standard,completed,79,76,81
512,female,3,standard,none,78,72,71
729,female,1,free/reduced,none,25,36,37
683,male,0,free/reduced,none,69,71,62
394,male,1,standard,none,57,59,54
967,female,5,free/reduced,none,84,100,99
648,male,3,standard,completed,85,85,91
183,female,3,standard,none,69,83,76
531,female,3,standard,none,66,73,73
668,male,0,standard,none,63,53,44
603,female,3,standard,completed,69,75,71
845,male,1,standard,none,65,66,64
553,male,5,free/reduced,none,71,62,66
858,female,1,standard,none,81,85,91
837,male,0,standard,completed,68,70,63
536,male,2,free/reduced,completed,83,63,63
266,male,3,standard,none,73,73,70
757,male,0,standard,none,75,63,60
996,male,3,free/reduced,completed,85,91,92
97,male,0,free/reduced,none,45,52,49
795,female,5,free/reduced,none,42,50,44
972,female,3,standard,none,81,77,74
684,male,3,free/reduced,none,69,77,70
209,female,3,standard,none,64,62,66
598,male,1,free/reduced,none,42,40,40
888,female,3,standard,none,67,58,62
98,male,2,standard,none,63,50,49
728,male,2,free/reduced,completed,57,68,61
33,female,3,standard,completed,65,65,71
736,male,3,standard,completed,90,89,87
447,male,1,standard,none,73,72,64
595,female,2,standard,none,46,54,54
761,male,1,standard,completed,70,79,73
606,male,0,free/reduced,completed,82,83,77
900,male,1,standard,none,59,54,48
251,male,1,standard,none,88,65,70
200,female,3,standard,completed,50,63,65
678,female,2,standard,none,61,73,70
333,male,1,standard,none,96,83,82
153,male,4,standard,none,68,66,73
587,female,2,standard,none,78,96,89
759,female,2,free/reduced,none,66,88,83
720,male,2,free/reduced,none,45,50,42
975,male,3,standard,none,74,76,70
156,male,0,free/reduced,none,64,64,59
576,male,2,standard,completed,51,52,52
128,male,2,standard,completed,100,84,87
685,male,0,standard,completed,58,56,56
130,female,3,free/reduced,completed,77,75,82
602,male,0,standard,none,43,50,45
212,male,2,standard,completed,66,75,70
59,male,1,standard,none,68,51,48
921,female,2,free/reduced,completed,53,73,74
968,female,1,free/reduced,none,39,51,48
826,female,4,standard,completed,83,96,99
268,female,2,standard,none,57,58,62
82,female,3,free/reduced,none,51,59,59
50,male,0,standard,none,65,68,64
549,female,1,standard,none,49,56,53
644,female,1,standard,none,40,48,49
564,female,2,standard,completed,74,95,94
778,male,5,free/reduced,none,48,52,44
551,male,2,standard,none,83,68,65
36,female,2,standard,completed,57,77,75
5,female,0,standard,none,63,77,76
822,female,5,standard,completed,75,75,83
519,female,4,standard,none,78,89,93
831,male,2,standard,completed,46,51,47
481,female,4,free/reduced,none,77,79,83
169,female,0,standard,none,80,85,83
13,male,0,standard,completed,74,74,73
314,male,3,standard,none,71,68,63
448,female,0,free/reduced,none,57,52,53
906,female,3,standard,none,77,81,79
274,female,1,standard,completed,85,93,92
629,male,0,standard,none,72,59,54
426,female,5,free/reduced,none,63,65,66
350,female,1,free/reduced,none,58,64,64
931,male,3,free/reduced,none,48,49,44
155,female,2,standard,none,43,44,47
402,female,1,standard,completed,55,74,73
532,female,2,free/reduced,none,45,59,56
997,female,1,free/reduced,none,32,35,41
495,male,2,standard,none,78,65,60
901,female,0,free/reduced,none,64,69,68
947,female,2,standard,completed,46,65,64
85,female,1,standard,none,53,71,69
278,female,0,standard,none,40,49,47
259,female,3,free/reduced,completed,80,87,89
146,female,1,standard,completed,63,61,66
903,male,0,free/reduced,none,59,61,58
20,female,3,standard,none,83,76,88
956,male,0,standard,completed,69,75,74
496,female,1,free/reduced,none,26,34,28
418,male,2,standard,none,72,65,59
295,female,1,standard,none,77,83,86
195,female,1,free/reduced,none,39,49,48
477,male,4,free/reduced,none,68,68,59
184,female,3,standard,completed,75,85,87
432,female,3,free/reduced,none,61,74,72
459,male,1,standard,completed,57,55,60
618,male,1,standard,none,58,60,53
443,male,2,standard,none,55,38,35
991,female,3,standard,none,87,93,88
161,male,3,free/reduced,none,65,63,65
886,male,3,free/reduced,none,73,73,61
617,male,0,free/reduced,completed,67,66,64
382,female,1,standard,completed,70,78,76
189,male,1,free/reduced,completed,52,63,53
10,male,2,standard,completed,99,83,85
733,male,3,free/reduced,none,76,68,66
265,male,1,standard,none,73,71,64
785,male,4,free/reduced,completed,48,52,57
672,female,1,free/reduced,none,34,47,45
818,female,1,standard,none,59,78,75
699,female,2,free/reduced,completed,58,69,74
482,female,5,free/reduced,none,83,81,83
533,female,1,standard,completed,62,78,73
776,male,0,free/reduced,none,41,42,38
637,female,2,standard,none,64,67,68
885,male,0,free/reduced,none,37,28,23
269,female,2,standard,none,65,73,72
157,female,3,free/reduced,none,92,87,87
403,female,2,standard,completed,65,63,66
575,male,4,standard,completed,88,87,94
893,male,3,free/reduced,completed,55,39,51
731,female,2,standard,none,63,70,71
815,female,0,standard,completed,48,56,64
658,male,0,standard,none,80,77,72
711,male,0,free/reduced,none,93,86,73
566,male,2,free/reduced,none,66,57,53
213,male,1,standard,none,62,66,64
238,male,3,standard,none,76,62,64
771,female,5,standard,completed,73,86,85
860,male,4,standard,none,98,92,90
904,male,4,free/reduced,none,80,70,71
704,female,0,standard,none,72,70,72
64,male,5,standard,completed,83,93,97
92,female,5,standard,none,81,81,87
651,male,3,free/reduced,completed,81,71,70
539,male,4,free/reduced,none,76,66,68
220,male,2,standard,none,89,90,83
294,female,4,free/reduced,completed,43,60,60
721,female,2,standard,completed,83,92,95
693,male,2,standard,none,57,57,53
41,male,0,standard,none,77,67,64
376,female,0,standard,none,85,91,89
883,female,2,standard,none,70,78,80
231,male,2,standard,none,81,75,70
353,male,4,free/reduced,completed,68,71,67
187,male,1,free/reduced,none,63,61,59
191,female,1,standard,none,33,51,51
797,male,3,standard,completed,62,61,61
351,female,5,standard,none,47,50,47
383,male,3,standard,completed,89,84,81
414,female,1,standard,none,61,62,61
960,male,3,standard,completed,49,58,55
270,female,1,standard,none,71,72,71
329,male,3,standard,completed,61,63,65
514,female,1,standard,none,75,80,72
108,male,3,standard,none,92,78,71
545,male,3,standard,completed,84,71,76
384,female,0,standard,completed,72,86,79
506,male,1,standard,none,86,76,63
952,female,4,standard,none,46,63,60
234,female,4,standard,none,58,79,82
835,female,1,standard,none,76,81,79
515,male,4,free/reduced,none,70,60,56
805,male,3,standard,none,49,55,48
415,male,0,standard,none,75,70,64
520,male,4,standard,none,89,77,82
412,female,5,free/reduced,none,55,60,61
308,female,4,standard,none,66,81,73
2,male,2,free/reduced,none,59,60,50
898,female,2,standard,completed,75,76,85
995,male,0,standard,none,73,70,65
897,female,1,free/reduced,none,51,67,69
547,male,2,free/reduced,none,56,58,50
175,female,2,free/reduced,none,50,56,60
245,male,0,standard,none,68,74,71
796,male,3,free/reduced,completed,74,90,89
827,female,3,free/reduced,none,70,84,78
966,female,1,free/reduced,completed,55,73,70
914,male,0,standard,none,77,62,65
345,male,2,free/reduced,none,63,60,54
380,female,0,standard,none,48,51,43
218,male,0,free/reduced,completed,66,59,68
667,male,0,free/reduced,none,63,63,61
490,male,5,standard,none,85,69,74
503,male,0,standard,none,77,80,72
366,female,3,free/reduced,none,55,61,60
586,female,5,standard,completed,59,73,74
874,male,4,standard,none,71,69,65
363,male,2,standard,completed,78,83,77
72,female,2,standard,none,49,70,63
950,male,1,standard,completed,89,87,90
420,female,4,standard,none,57,71,63
87,male,2,standard,none,97,93,88
976,female,2,free/reduced,completed,31,29,35
491,female,5,standard,completed,57,68,76
100,male,2,free/reduced,completed,54,61,62
749,female,0,free/reduced,none,50,68,66
138,male,2,free/reduced,none,52,44,49
35,female,4,standard,none,68,74,74
534,male,2,free/reduced,completed,74,80,86
732,male,3,standard,none,100,91,86
994,male,0,free/reduced,completed,86,82,75
744,male,3,free/reduced,none,83,85,78
923,male,3,standard,none,65,63,61
392,female,2,free/reduced,none,13,29,23
80,female,4,standard,none,46,59,62
120,female,0,standard,completed,55,71,71
126,male,3,standard,none,77,71,64
516,male,3,standard,none,54,52,48
159,male,1,free/reduced,none,84,78,79
